site,landuse,pair_id,acalypha_unknown,achyranthes_aspera,aerva_lanata,amaranthus_graecizans,amaranthus_unknown,anagallis_arvensis,asparagus_unknown,aspidoglossum_angustissimum,aspilia_unknown,balanites_unknown,barleria_unknown,bidens_pilosa,cassia_unknown,chenopodium_unknown,commelina_unknown,craterostigma_unknown,crotalaria_deflersii,croton_unknown,cucumis_unknown,cyathula_orthacantha,cyphostemma_serpens,datura_stramonium,emilia_unknown,galinsoga_parviflora,helichrysum_glumaceum,hirpicium_unknown,hypoestes_verticillaris,ipomoea_sinensis,justicia_unknown,leucas_unknown,lilium_unknown,lippia_unknown,lippia_javanica,melhania_velutina,misopates_orontium,mollugo_unknown,monechma_unknown,monsonia_angustifolia,ocimum_unknown,osteospermum_unknown,osteospermum_vaillantii,oxalis_corniculata,pavonia_unknown,polygala_unknown,polygonum_senegalense,psilotrichum_ellioti,pupalia_lappacea,rhus_natalensis,rhynchosia_unknown,schkuhria_unknown,senecio_stuhlmannii,solanum_incanum,solanum_indicum,sphaeranthus_suaveolens,tagetes_minuta,tinnea_aethiopica,tribulus_terrestris,aristida_congesta,aristida_kenyensis,bothriochloa_insculpta,brachiaria_eruciformis,brachiaria_lachnantha,brachiaria_leersioides,cenchrus_ciliaris,chloris_roxburghiana,chloris_unknown,chloris_virgata,cymbopogon_pospischilii,cynodon_dactylon,cynodon_plectostachyus,dactyloctenium_unknown,dinebra_unknown,digitaria_unknown,enneapogon_schimperanus,enneapogon_macrostachyus,eragrostis_papposa,eragrostis_racemosa,eragrostis_rigidior,eragrostis_superba,eragrostis_tenuiflora,harpachne_schimperi,heteropogon_unknown,hordeum_vulgare,lintonia_nutans,microchloa_kunthii,pennisetum_purpureum,oxygonum_sinuatum,panicum_maximum,pennisetum_mezianum,pennisetum_stramineum,pentanisia_ouranogyne,rhynchelytrum_repens,setaria_incrassata,setaria_sphacilata,sporobolus_africanus,sporobolus_festivus,sporobolus_kenyensis,sporobolus_pyramidalis,themeda_triandra,tragus_berteronianus,cyperus_unknown,schkuhria_pinnata,abutilon_mauritianum,acacia_brevispica,cadaba_farinosa,capparis_tomentosa,carissa_edulis,clausena_anisata,combretum_unknown,dyschoriste_radicans,grewia_unknown,gutenbergia_cordifolia,hibiscus_unknown,indigofera_unknown,jasminium_unknown,lycium_europaeum,phyllanthus_unknown,plectranthus_unknown,pollichia_campestris,psiadia_punctulata,pyrostria_phyllanthoidea,rhamnus_staddo,schoenoplectus_unknown,scutia_myrtina,waltheria_unknown,aloe_vera,euphorbia_unknown,kalanchoe_unknown,kleinia_unknown,portulaca_unknown,sansevieria_unknown,acacia_drepanolobium,acacia_etbaica,acacia_gerradii,acacia_mellifera,acacia_nilotica,acacia_seyal,acacia_tortilis,acacia_xanthophloea,boscia_unknown,commiphora_unknown,cordia_monoica,eucalyptus_unknown,euclea_unknown,ficus_unknown,maytenus_unknown,sesbania_sesban,teclea_unknown,longitude,latitude,annual_rainfall,frac_veg,erosion,root_dep_res_50cm,soil_org_carb,pH,sand,soil_pc1,soil_pc2
IL MOTIOK 1a,Pastoral,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,14,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91154,0.44515,470.82285,0.22111,0.83,0.53,8.09585,6.36406,29.17636,2.00633,1.01268
OLJOGI 4,Conserved,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,13,0,0,0,0,0,0,0,10,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,13,45,2,0,5,0,0,4,0,0,0,7,0,0,0,0,1,0,0,1,5,18,0,0,0,0,0,0,0,0,18,1,4,0,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92617,0.32615,532.90753,0.50488,0.592,0.452,19.46076,6.4788,20.67426,0.28946,0.54277
LEKIJI 3,Pastoral,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,1,0,0,0,17,0,0,0,0,7,0,0,0,7,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92455,0.32655,527.88409,0.31713,0.596,0.54,8.49224,6.2327,32.63112,1.37047,0.68246
OLJOGI 3,Conserved,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,1,0,0,9,10,1,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,18,12,0,1,0,0,36,2,5,0,2,0,3,1,2,0,4,20,0,0,0,0,17,0,1,2,1,10,0,0,0,0,0,0,0,6,0,8,9,0,0,2,0,0,0,0,0,0,1,1,4,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,36.92742,0.3544,510.36313,0.41014,0.648,0.512,11.6644,6.05372,25.17851,0.54809,0.73747
LEKIJI 2,Pastoral,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92705,0.35128,510.36313,0.2746,0.992,0.572,6.62976,6.63899,38.71459,3.58679,1.4619
MPALA 1,Conserved,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,7,0,10,0,0,10,20,2,0,0,0,24,1,2,0,0,11,0,0,0,0,5,0,0,1,0,44,0,0,0,0,0,0,0,3,0,14,33,0,0,7,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91205,0.34058,521.44757,0.30788,0.402,0.502,9.85547,6.53654,31.68614,1.17715,0.1517
LEKIJI 1,Pastoral,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,1,0,0,34,0,1,0,0,0,3,1,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9126,0.34031,520.45984,0.67836,0.468,0.282,28.02603,5.89973,10.43787,-2.19783,-0.47387
MPALA 4,Conserved,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,101,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,63,0,11,0,0,0,11,0,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,6,0,10,3,0,0,28,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,28,0,0,0,0,0,6,1,0,6,0,0,1,0,0,0,36.90624,0.33118,531.57001,0.37013,0.83,0.404,13.77848,6.30169,20.94289,0.99112,0.39524
LEKIJI 4,Pastoral,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,10,0,0,27,0,0,0,0,1,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,36.90754,0.33049,529.22913,0.48786,0.502,0.456,11.58261,6.43638,26.72853,0.84837,0.09286
SEGERA 3,Conserved,11,0,0,6,0,0,0,0,0,16,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,26,68,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,84,9,0,0,0,89,8,0,0,0,25,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,2,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7529,0.36852,579.18359,-0.23252,0.418,0.416,15.98227,6.40751,14.23487,-0.49855,-0.08396
KARASHIRA 1,Pastoral,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,20,0,0,0,0,28,0,0,0,8,10,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.75258,0.37059,579.18359,-0.09352,0.474,0.568,11.80348,6.94311,29.04383,1.75334,0.82337
MPALA 6,Conserved,10,0,2,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,23,17,0,0,1,0,0,0,0,0,0,40,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,4,5,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.881,0.49373,460.16473,0.24038,0.682,0.566,9.42636,6.60344,25.91464,1.71584,1.08815
KOIJA 2,Pastoral,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88382,0.49706,457.96246,0.15812,0.772,0.622,9.18,6.35941,32.74868,2.03816,1.57324
KOIJA 1,Agriculture,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88673,0.49043,460.6232,0.23137,0.584,0.538,13.77663,6.45712,28.19097,1.08959,0.87204
MPALA 5,Conserved,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88209,0.48598,462.40286,0.27513,0.512,0.402,11.8527,6.5517,28.13425,1.11117,-0.26542
NAROK 4,Agriculture,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.64525,0.36716,634.25378,0.5549,0.382,0.178,21.7354,5.9937,10.28924,-1.94192,-1.57037
OLMAISOR 4,Conserved,8,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,1,5,0,0,0,0,15,0,0,12,0,11,0,0,0,1,3,0,0,1,15,2,0,0,14,1,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.64297,0.36822,634.25378,0.4804,0.652,0.41,15.96735,6.09683,17.10539,-0.18551,0.24339
OLMAISOR 3,Conserved,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,13,0,10,0,0,0,0,1,0,0,0,12,3,0,0,1,1,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,36.64437,0.37757,631.26355,0.5019,0.582,0.448,14.50208,6.11576,15.06261,-0.36876,0.35146
NAROK 3,Pastoral,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,13,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36.64532,0.38025,631.26355,0.45113,0.584,0.436,11.86671,6.16158,14.05479,-0.19796,0.18193
OLMAISOR 2,Conserved,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,28,0,0,0,0,1,0,0,128,0,10,0,0,0,0,4,0,0,0,15,3,0,0,2,0,0,0,0,44,85,0,4,0,0,0,0,0,0,0,0,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,36.63125,0.35834,643.62201,0.4949,0.368,0.292,19.95108,5.94463,14.06362,-1.6668,-0.88927
NAROK 2,Pastoral,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,9,0,60,0,0,0,0,2,0,0,9,2,3,0,0,0,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,36.63018,0.35745,643.62201,0.45261,0.796,0.434,15.58302,7.32286,22.41473,2.51697,0.61113
NAROK 1,Agriculture,5,0,0,1,14,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,64,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,25,51,3,0,0,3,0,0,0,0,1,54,0,29,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,36.62852,0.35253,648.2182,0.54116,0.18,0.158,24.75512,6.06321,12.12422,-2.44714,-1.94849
OLMAISOR 1,Conserved,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,45,0,0,0,0,0,0,0,114,0,14,0,0,0,0,4,0,1,2,32,1,0,0,0,10,0,0,0,3,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,36.63293,0.35594,643.62201,0.4214,0.168,0.372,14.47866,5.97537,14.03683,-1.79073,-0.86486
SEGERA 2,Conserved,4,0,0,1,0,0,0,0,0,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,26,42,0,0,0,0,0,0,0,0,110,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.76933,0.25426,623.17383,0.4974,0.534,0.54,15.08184,6.11819,33.28219,0.6614,0.81426
THOME 2,Pastoral,4,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,17,1,0,0,1,49,22,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.76831,0.25375,623.17383,0.49664,0.548,0.45,20.6075,6.24497,31.51289,0.41726,0.42438
SEGERA 1,Conserved,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,54,0,0,0,13,52,0,0,0,0,0,0,0,0,114,0,3,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7641,0.26004,622.00671,0.42915,0.378,0.18,10.81147,6.01665,35.64337,0.36099,-2.12791
THOME 1,Pastoral,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,37,0,0,0,10,1,0,0,0,27,7,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7633,0.25917,622.00671,0.42964,0.596,0.49,15.44313,6.30716,28.27244,0.76908,0.61666
SESSIONS 2,Agriculture,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86673,0.09352,680.57861,0.4944,0.17,0.44,13.5012,6.06781,30.70141,-0.4962,-0.53184
OL PEJETA 2,Conserved,2,0,1,0,1,0,0,7,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,116,0,0,0,28,0,0,2,1,73,0,12,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,36.86654,0.09295,683.0481,0.46241,0.464,0.428,14.32492,6.09905,34.54314,0.52879,-0.11944
SESSIONS 1,Agriculture,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.90278,0.05668,698.63745,0.57265,0.356,0.484,22.17626,6.0914,20.90432,-1.09681,0.46651
OL PEJETA 1,Conserved,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,2,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6,0,0,0,0,2,0,0,0,22,30,0,0,0,2,0,0,0,0,314,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.90285,0.05558,698.63745,0.62964,0.498,0.624,24.28836,6.04348,15.29166,-1.22682,1.79316
